condition,symptoms,triage_level,advice,medicine_category,see_doctor_if
Minor Cuts and Scrapes,"small skin break, minor bleeding, mild pain",self-care,"Clean with water, apply antiseptic, cover with a clean bandage.",topical antiseptic,"wound is deep, won't stop bleeding, or shows signs of infection (pus, spreading redness)"
Muscle Strain,"localized muscle pain after activity, stiffness, mild swelling",self-care,"Rest the area, ice for first 24-48 hours, gentle stretching after.",pain reliever / anti-inflammatory,"severe pain, inability to move the area, or visible deformity"
Mild Anxiety / Stress Response,"racing thoughts, restlessness, difficulty concentrating, mild chest tightness without cardiac history",consult-doctor,"Practice slow breathing, reduce caffeine, talk to someone you trust.",none - lifestyle and professional support recommended,"symptoms are persistent, affecting daily life, or include thoughts of self-harm"
Insomnia (Occasional),"difficulty falling asleep, waking frequently at night, daytime fatigue",self-care,"Keep a consistent sleep schedule, avoid screens before bed, limit caffeine after noon.",none - sleep hygiene recommended,insomnia persists beyond 3 weeks
Common Conjunctivitis (Pink Eye),"red eyes, itching, watery or sticky discharge, no vision change",consult-doctor,"Avoid touching/rubbing eyes, wash hands frequently, use clean cloth for discharge.",lubricating eye drops,"vision changes, significant eye pain, or sensitivity to light"
Mild Dehydration,"thirst, dry mouth, fatigue, reduced urination, mild dizziness on standing",self-care,"Increase fluid intake, add electrolytes if sweating heavily.",oral rehydration salts,"confusion, fainting, or no urination for 8+ hours"
Constipation,"infrequent bowel movements, straining, hard stool, bloating",self-care,"Increase fiber and water intake, light physical activity.",mild laxative / fiber supplement,"severe abdominal pain, blood in stool, or no relief after a few days"
Common Cough (Post-Viral),"dry or mild productive cough persisting after a cold, no fever",self-care,"Warm fluids, honey and warm water, humidify the air.",cough suppressant / expectorant,cough lasts more than 3 weeks or is accompanied by blood
Mild Fever (Non-specific),"body temperature 99-101F, mild fatigue, no other alarming symptoms",self-care,"Rest, fluids, monitor temperature every few hours.",fever reducer,fever exceeds 103F or lasts more than 3 days
Sinusitis,"facial pressure, nasal congestion, thick nasal discharge, mild headache",self-care,"Steam inhalation, saline nasal rinse, stay hydrated.",decongestant,symptoms persist beyond 10 days or severe facial pain develops
Sore Throat (Pharyngitis),"pain when swallowing, scratchy throat, mild fever possible",self-care,"Warm salt water gargle, warm fluids, throat lozenges.",throat lozenges / pain reliever,"severe difficulty swallowing, drooling, or high fever"
Motion Sickness,"nausea, dizziness during travel, cold sweat",self-care,"Look at a fixed distant point, fresh air, avoid reading while moving.",antihistamine (motion sickness type),symptoms persist long after travel ends
Mild Sunburn,"red, warm, tender skin after sun exposure, no blistering",self-care,"Cool compress, moisturizer, stay hydrated, avoid further sun exposure.",soothing aloe-based lotion,"blistering, fever, or widespread severe burn"
Dandruff / Dry Scalp,"flaky scalp, mild itching, no redness or pain",self-care,"Use gentle anti-dandruff shampoo, avoid excessive hot water on scalp.",medicated shampoo,"scalp becomes red, painful, or shows signs of infection"
Mild Menstrual Cramps,"lower abdominal cramping during period, mild back pain",self-care,"Warm compress, light exercise, rest as needed.",pain reliever / anti-inflammatory,"pain is severe, unusual, or accompanied by heavy bleeding"
Heat Exhaustion (Mild),"heavy sweating, weakness, dizziness, nausea after heat exposure",consult-doctor,"Move to a cool place immediately, hydrate, remove excess clothing.",oral rehydration salts,"confusion, very high body temperature, or stops sweating (possible heat stroke - emergency)"
Common Ear Wax Blockage,"muffled hearing, mild ear discomfort, no pain or discharge",self-care,"Avoid inserting objects into ear, consider ear drops to soften wax.",ear wax softening drops,"ear pain, discharge, or sudden hearing loss develops"
Mild Acid Indigestion,"fullness, mild discomfort after a large meal, occasional burping",self-care,"Eat slowly, avoid overeating, avoid lying down immediately after meals.",antacid,pain radiates to chest/arm or is accompanied by sweating (seek emergency care)
Possible Heart Attack,"chest pain, pressure or tightness in chest, shortness of breath, pain radiating to arm/jaw, sweating",emergency,This combination of symptoms can indicate a medical emergency.,none - call emergency services immediately,always - this requires immediate emergency care
Stroke Warning Signs,"sudden facial drooping, slurred speech, arm weakness, sudden confusion, sudden severe headache",emergency,This combination of symptoms can indicate a stroke.,none - call emergency services immediately,always - this requires immediate emergency care
Severe Allergic Reaction (Anaphylaxis),"swelling of face/throat, difficulty breathing, widespread hives, dizziness after exposure to allergen",emergency,This can indicate a life-threatening allergic reaction.,none - call emergency services immediately,always - this requires immediate emergency care
Severe Breathing Difficulty,"shortness of breath at rest, gasping, bluish lips or face, chest tightness",emergency,This can indicate a serious respiratory emergency.,none - call emergency services immediately,always - this requires immediate emergency care
